using_method,level,batch,trial_index,first_gen_time,has_collision,second_gen_time,final_path_length,total_time,reached
slm,1,8,0,0.5019734000015887,False,0.0,738.9999999999974,0.534261199994944,True
slm,1,8,1,0.3038737000024412,False,0.0,712.0000000000011,0.3132238999969559,True
slm,1,8,2,0.31282500000088476,False,0.0,745.5000000000002,0.32316870000067865,True
slm,1,8,3,0.3025668000045698,False,0.0,736.7500000000016,0.31221280000318075,True
slm,1,8,4,0.3082412000003387,False,0.0,746.000000000002,0.31854110000131186,True
slm,1,8,5,0.31542610000178684,False,0.0,748.2499999999997,0.3252158000032068,True
slm,1,8,6,0.30702739999833284,False,0.0,758.749999999999,0.3171329000033438,True
slm,1,8,7,0.3221036000031745,False,0.0,812.4999999999995,0.3327318000010564,True
slm,1,8,8,0.315267899997707,False,0.0,783.5,0.32566769999539247,True
slm,2,8,9,0.407768600001873,True,0.09968010000011418,701.654925940619,0.5207267000005231,True
slm,2,8,10,0.4141767999972217,True,0.0998191999970004,724.2847605570698,0.523322900000494,True
slm,2,8,11,0.41196559999661986,True,0.10209419999591773,701.9001180759326,0.5237224000011338,True
slm,2,8,12,0.40698040000279434,True,0.09701910000148928,701.9768866191191,0.5135249000013573,True
slm,1,8,13,0.3075964000017848,False,0.0,748.9999999999989,0.31736280000041006,True
slm,1,8,14,0.3101827999998932,False,0.0,743.5000000000005,0.3199590000003809,True
slm,1,8,15,0.32773290000477573,False,0.0,721.250000000001,0.3371486999967601,True
slm,1,8,16,0.3268305000019609,False,0.0,729.7499999999973,0.33662439999898197,True
slm,1,8,17,0.34069959999760613,False,0.0,721.2499999999999,0.3504975999967428,True
slm,1,8,18,0.3425582999989274,False,0.0,726.2500000000001,0.3524355999979889,True
slm,2,8,19,0.45400599999993574,True,0.1028338000032818,706.7796209150532,0.566536599995743,True
slm,1,8,20,0.3568775999956415,False,0.0,723.5000000000013,0.36674889999994775,True
slm,1,8,21,0.36123200000292854,False,0.0,711.2499999999987,0.37139569999999367,True
slm,2,8,22,0.4966095999989193,True,0.11065129999769852,707.7718320430283,0.6171877000015229,True
slm,1,8,23,0.36793200000101933,False,0.0,720.9999999999984,0.37791719999950146,True
slm,1,8,24,0.38577129999612225,False,0.0,870.9999999999975,0.39722299999993993,True
slm,1,8,25,0.38484809999499703,False,0.0,963.5000000000016,0.3972864999959711,True
slm,1,8,26,0.37926750000042375,False,0.0,885.7499999999977,0.39334470000176225,True
slm,1,8,27,0.36406279999937396,False,0.0,892.7500000000007,0.37554249999811873,True
slm,1,8,28,0.39054050000413554,False,0.0,961.7500000000018,0.40261029999965103,True
slm,2,8,29,0.4967155999984243,True,0.11574929999915184,807.8776743136228,0.6233164000004763,True
slm,1,8,30,0.36024650000035763,False,0.0,875.2500000000018,0.3715243999977247,True
slm,1,8,31,0.3877017999984673,False,0.0,966.0000000000008,0.39981120000447845,True
slm,1,8,32,0.36665930000162916,False,0.0,881.0000000000007,0.37793770000280347,True
slm,1,8,33,0.3258605999944848,True,0.09956729999976233,132.0373648834446,0.4317490000030375,True
slm,1,8,34,0.35652780000236817,False,0.0,772.4999999999986,0.36723109999729786,True
slm,1,8,35,0.3380313000016031,True,0.09607780000078492,163.79847736019016,0.4402117999998154,True
slm,2,8,36,0.5042753000016091,True,0.11199579999811249,714.1441454228277,0.6260191999972449,True
slm,1,8,37,0.365775999998732,False,0.0,785.750000000003,0.3759275999982492,True
slm,2,8,38,0.4977343999998993,True,0.11078899999847636,715.9277608707962,0.6192070000033709,True
slm,1,8,39,0.374165000001085,False,0.0,765.5000000000014,0.383975199998531,True
slm,1,8,40,0.3511830000061309,False,0.0,775.999999999999,0.36110809999809135,True
slm,1,8,41,0.3482250000015483,False,0.0,760.9999999999981,0.3609998000029009,True
slm,2,8,42,0.47489299999870127,True,0.11435319999873172,704.9857602840619,0.6030901999984053,True
slm,1,8,43,0.34709250000014435,False,0.0,728.7499999999973,0.3569961999965017,True
slm,1,8,44,0.3466169000021182,False,0.0,717.4999999999993,0.356228699994972,True
slm,1,8,45,0.35700749999523396,False,0.0,739.0000000000009,0.3674061999990954,True
slm,1,8,46,0.35947200000373414,False,0.0,735.0000000000005,0.3701214000029722,True
slm,2,8,47,0.4775463999976637,True,0.10967520000122022,712.5169151178991,0.5974435000025551,True
slm,1,8,48,0.3571059000023524,False,0.0,731.0,0.3703832000028342,True
slm,1,8,49,0.3490088999969885,False,0.0,735.4999999999999,0.3604864000008092,True
slm,1,8,50,0.3547125999975833,False,0.0,722.5,0.3640780999994604,True
slm,1,8,51,0.36438730000372743,False,0.0,863.5000000000009,0.3771344999986468,True
slm,1,8,52,0.36965800000325544,False,0.0,906.4999999999995,0.3845099000027403,True
slm,1,8,53,0.3824483999997028,False,0.0,886.7500000000016,0.39372630000434583,True
slm,1,8,54,0.37604450000071665,False,0.0,869.7500000000001,0.38724359999469016,True
slm,2,8,55,0.5118205999970087,True,0.11991990000387887,823.4979411247638,0.6440778000032878,True
slm,1,8,56,0.40074489999824436,False,0.0,902.7499999999978,0.4135854999985895,True
slm,2,8,57,0.5306505000044126,True,0.11889280000468716,772.8155434938387,0.6609895000001416,True
slm,2,8,58,0.5225248999995529,True,0.10864139999466715,807.4167664592252,0.645060699993337,True
slm,1,8,59,0.3786326999979792,False,0.0,874.5000000000016,0.3899530999988201,True
slm,1,8,60,0.3484262999991188,True,0.10560029999760445,141.74830725558513,0.46022419999644626,True
slm,1,8,61,0.37167710000358056,False,0.0,728.000000000003,0.3818113000015728,True
slm,1,8,62,0.37198879999778,False,0.0,727.4999999999993,0.3820053999952506,True
slm,1,8,63,0.3687686000048416,False,0.0,721.0,0.3784540999986348,True
slm,2,8,64,0.5068668000021717,True,0.11599049999495037,718.2903918488469,0.6326872000063304,True
slm,1,8,65,0.3721724999995786,False,0.0,725.7500000000005,0.383565299998736,True
slm,1,8,66,0.3753992999991169,False,0.0,726.2499999999997,0.38652810000348836,True
slm,1,8,67,0.3759665999969002,False,0.0,731.7500000000007,0.38939810000010766,True
slm,1,8,68,0.3726676000005682,False,0.0,716.7500000000002,0.3825695999985328,True
slm,1,8,69,0.3716573999990942,False,0.0,746.7500000000014,0.3814205000016955,True
slm,1,8,70,0.38669550000486197,False,0.0,765.2500000000003,0.3968423999976949,True
slm,1,8,71,0.3699771999963559,False,0.0,705.0000000000005,0.3808318000010331,True
slm,1,8,72,0.3574750999978278,False,0.0,708.5000000000016,0.36879749999934575,True
slm,1,8,73,0.3668848000015714,False,0.0,791.2499999999989,0.37864599999738857,True
slm,1,8,74,0.3618979000020772,False,0.0,773.250000000002,0.3728276999972877,True
slm,1,8,75,0.3566932000030647,False,0.0,751.5000000000014,0.3684166000020923,True
slm,2,8,76,0.4989417999968282,True,0.11281910000252537,709.7994351613877,0.6215834999966319,True
slm,1,8,77,0.38417910000134725,False,0.0,757.4999999999989,0.3949120999968727,True
slm,1,8,78,0.38120369999523973,False,0.0,868.5000000000002,0.3926752999977907,True
slm,2,8,79,0.5254791000043042,True,0.1088069000034011,783.8538599361666,0.6451422999962233,True
slm,1,8,80,0.3779248999999254,False,0.0,872.999999999999,0.3905144999953336,True
slm,1,8,81,0.37537629999860656,False,0.0,793.750000000001,0.3863677000044845,True
slm,2,8,82,0.5103533000001335,True,0.11510670000279788,832.3521026060223,0.6372923999952036,True
slm,1,8,83,0.38979509999626316,False,0.0,945.4999999999964,0.4016957999992883,True
slm,1,8,84,0.3734212000053958,False,0.0,904.2499999999992,0.38527910000266274,True
slm,1,8,85,0.36319799999910174,True,0.1017130000036559,347.7476701690367,0.4750136000002385,True
slm,1,8,86,0.374166100002185,False,0.0,890.5,0.3856190999940736,True
slm,1,8,87,0.38537560000258964,False,0.0,843.2500000000007,0.39617980000184616,True
slm,1,8,88,0.37164860000484623,False,0.0,878.2500000000003,0.3848909000007552,True
slm,2,8,89,0.49755159999767784,True,0.10803829999349546,766.0939555716682,0.6161553000056301,True
slm,2,8,90,0.4971825999964494,True,0.10726650000287918,808.5592691098717,0.6164293000038015,True
slm,1,8,91,0.3849539000002551,False,0.0,914.2500000000014,0.3966123999998672,True
slm,1,8,92,0.38702520000515506,False,0.0,928.0000000000002,0.39862510000239126,True
slm,1,8,93,0.38543180000124266,False,0.0,862.4999999999987,0.39831860000413144,True
slm,1,8,94,0.37532159999682335,False,0.0,873.7499999999991,0.38839450000523357,True
slm,1,8,95,0.38501240000186954,False,0.0,862.25,0.3962473999999929,True
slm,1,8,96,0.3717157999999472,False,0.0,721.2500000000013,0.3822652000017115,True
slm,1,8,97,0.38389379999716766,False,0.0,724.2500000000009,0.39482459999999264,True
slm,2,8,98,0.5113867999971262,True,0.1210168000034173,702.7995590852307,0.6425751999995555,True
slm,1,8,99,0.37786269999924116,False,0.0,730.9999999999992,0.38826610000251094,True
slm,1,8,100,0.36756449999666074,False,0.0,721.7499999999964,0.37851579999551177,True
slm,1,8,101,0.373651299996709,False,0.0,725.0000000000003,0.3836401000007754,True
slm,1,8,102,0.3824164999969071,False,0.0,725.7499999999986,0.39333690000057686,True
slm,1,8,103,0.3817992999975104,False,0.0,725.9999999999997,0.3916511999996146,True
slm,1,8,104,0.36248100000375416,False,0.0,721.2500000000015,0.37450759999774164,True
slm,2,8,105,0.5221667000005255,True,0.11713129999407101,759.7162578223952,0.6508729000051972,True
slm,2,8,106,0.5168759999942267,True,0.11803269999654731,801.6488757472785,0.6463918000008562,True
slm,1,8,107,0.38612069999362575,False,0.0,790.499999999998,0.39708499999687774,True
slm,1,8,108,0.39025159999437165,False,0.0,787.9999999999995,0.402682799998729,True
slm,1,8,109,0.3676121000025887,False,0.0,110.25000000000017,0.37512840000272263,True
slm,2,8,110,0.5188162999984343,True,0.1136363000041456,768.8716853194685,0.6438023000009707,True
slm,1,8,111,0.37731230000645155,False,0.0,759.25,0.3885057000006782,True
slm,1,8,112,0.3918723999959184,False,0.0,1114.9999999999986,0.4054122000015923,True
slm,1,8,113,0.38072660000034375,False,0.0,773.2500000000002,0.3915852999998606,True
slm,1,8,114,0.37640050000482006,False,0.0,785.2500000000005,0.3870521999997436,True
slm,2,8,115,0.5269337999998243,False,0.0,826.2499999999994,0.5403158999979496,True
slm,2,8,116,0.520844800004852,True,0.11096160000306554,788.8780007079505,0.6425283999997191,True
slm,1,8,117,0.3856390000000829,False,0.0,487.749999999999,0.397380800000974,True
slm,2,8,118,0.4721341999975266,False,0.0,493.5000000000005,0.4805203000069014,True
slm,1,8,119,0.39966699999786215,False,0.0,488.99999999999966,0.4118960999985575,True
slm,2,8,120,0.5016282000069623,True,0.10871489999408368,781.071592768929,0.6220561000009184,True
slm,1,8,121,0.3735452000037185,False,0.0,492.2500000000001,0.38326080000115326,True
slm,1,8,122,0.39398549999896204,False,0.0,761.7499999999991,0.4069186999986414,True
