using_method,level,batch,trial_index,first_gen_time,has_collision,second_gen_time,final_path_length,total_time,reached
rvo,1,1,1037,0.844124200000806,False,0.0,1139.8477970773583,0.8461515999988478,True
rvo,1,1,1038,0.8020169000010355,False,0.0,1093.795323330221,0.8042056999984197,True
rvo,2,1,1039,1.3776495000020077,False,0.0,1173.1445446116245,1.3820279999999912,True
rvo,1,1,1040,1.042980300000636,False,0.0,1145.3838337590842,1.045535099998233,True
rvo,2,1,1041,1.1418084999968414,False,0.0,1157.8195963490768,1.1440268000005744,True
rvo,1,1,1042,0.8905295000004116,False,0.0,1102.0419798867767,0.8927383000009286,True
rvo,1,1,1043,0.9528862000006484,False,0.0,1145.3838337590842,0.9553255999999237,True
rvo,1,1,1044,0.4004982000005839,False,0.0,1009.3705450015266,0.40253410000150325,True
rvo,1,1,1045,0.5288045999986934,False,0.0,1046.900726001755,0.5308694000013929,True
rvo,1,1,1046,0.5060768000003009,False,0.0,1014.8795009307515,0.5085930999994162,True
rvo,2,1,1047,0.7271063000007416,False,0.0,1168.064948592542,0.7291360000017448,True
rvo,1,1,1048,0.6463226000014402,False,0.0,1085.9182996215754,0.6482534999995551,True
rvo,1,1,1049,0.6856205000003683,False,0.0,1072.2746193672372,0.6886195999977645,True
rvo,1,1,1050,0.5347275999993144,False,0.0,1048.1852430389627,0.5372809000000416,True
rvo,1,1,1051,0.654652500001248,False,0.0,1074.5761462066996,0.6574810999991314,True
rvo,1,1,1052,0.6860384999999951,False,0.0,1094.2318762476834,0.6885714000018197,True
rvo,1,1,1053,0.6181065999990096,False,0.0,1100.163090344186,0.6210211999969033,True
rvo,1,1,1054,0.9765008999966085,False,0.0,1100.1186425675007,0.978698599999916,True
rvo,1,1,1055,0.8202377000015986,False,0.0,1086.3536515651049,0.8225868000008631,True
rvo,1,1,1056,0.8899005000021134,False,0.0,1094.3412522194717,0.8920532000011008,True
rvo,1,1,1057,1.2092348000005586,False,0.0,1116.3817962680528,1.2126916000015626,True
rvo,1,1,1058,1.187558200002968,False,0.0,1094.3412522194717,1.189897000000201,True
rvo,2,1,1059,1.1427526000006765,True,0.0812063000012131,1142.0836518124624,1.226093099998252,True
rvo,1,1,1060,1.1006063999993785,False,0.0,1103.9441119851317,1.1041454000005615,True
rvo,2,1,1061,1.7857414999998582,False,0.0,1116.5205675815782,1.7890401000004204,True
rvo,1,1,1062,0.5923631999976351,False,0.0,1093.3936193534107,0.5942711999996391,True
rvo,2,1,1063,0.9033539000010933,True,0.08579399999871384,1059.981960217511,0.9910137999977451,True
rvo,1,1,1064,0.6855728999980784,False,0.0,1115.4140941679273,0.6877951999995275,True
rvo,2,1,1065,1.0143202999970526,False,0.0,1149.619994407643,1.0163245999974606,True
rvo,1,1,1066,0.8664223000014317,False,0.0,1100.978732913203,0.8684749000021839,True
rvo,1,1,1067,0.8752425000020594,False,0.0,1084.1392058917809,0.8774191000011342,True
rvo,2,1,1068,0.8921756999989157,False,0.0,1120.5883518148282,0.8945613999967463,True
rvo,1,1,1069,0.7898326000031375,False,0.0,1089.9734258654103,0.791903999997885,True
rvo,1,1,1070,0.7983402999998361,False,0.0,1113.3065918036114,0.801317099998414,True
rvo,1,1,1071,0.4171124999993481,False,0.0,1064.7919481513218,0.419691299997794,True
rvo,1,1,1072,0.4748190999998769,False,0.0,1052.4878412907947,0.47799289999966277,True
rvo,1,1,1073,0.5218458999988798,False,0.0,1048.1336735187067,0.5246134000008169,True
rvo,1,1,1074,0.5550473999974201,False,0.0,1107.959471288774,0.5572577000020829,True
rvo,1,1,1075,0.6284347000000707,False,0.0,1079.066518058943,0.6305088000008254,True
rvo,1,1,1076,0.7201118999983009,False,0.0,1109.3119646970727,0.7230175999975472,True
rvo,1,1,1077,0.6302202000006218,False,0.0,1088.6942325231607,0.6322199999995064,True
rvo,1,1,1078,0.8515910999994958,False,0.0,1188.9266357511694,0.8548017000030086,True
rvo,2,1,1079,1.4947370999980194,False,0.0,1371.133236366532,1.4973110999999335,True
rvo,2,1,1080,0.7648838999994041,False,0.0,1115.187817854459,0.7672889999994368,True
rvo,1,1,1081,1.0120084000009228,False,0.0,1111.1709495908567,1.0150629000017943,True
rvo,1,1,1082,0.851967099999456,False,0.0,1098.740635209645,0.8551107999992382,True
rvo,2,1,1083,1.0880676000015228,False,0.0,1118.3247801373195,1.09015989999898,True
rvo,1,1,1084,1.1694612999999663,False,0.0,1133.3763169849303,1.1716567000003124,True
rvo,1,1,1085,1.0265747999983432,False,0.0,1130.6307795311927,1.0301762000017334,True
rvo,1,1,1086,0.9099788999992597,False,0.0,1308.440083662077,0.9139006999976118,True
rvo,2,1,1087,2.0668159000015294,False,0.0,1371.2314028930691,2.069453000000067,True
rvo,1,1,1088,1.6603756000004068,False,0.0,1365.8851454998378,1.6629262999995262,True
rvo,1,1,1089,0.6058669999983977,False,0.0,1184.518875384739,0.6080848000019614,True
rvo,1,1,1090,0.758699300000444,False,0.0,1187.3231095205279,0.7616565999996965,True
rvo,1,1,1091,0.7227758999979415,False,0.0,1189.8650603966923,0.7248100999968301,True
rvo,1,1,1092,0.7819923999995808,False,0.0,1253.9235408295299,0.7843888999996125,True
rvo,2,1,1093,1.1705152000031376,True,0.12274450000040815,1074.5895804667384,1.2963176000012027,True
rvo,2,1,1094,1.1497258999988844,True,0.11605169999893405,1078.2993574247105,1.2677651000012702,True
rvo,2,1,1095,1.228971199998341,False,0.0,1226.3514654911783,1.2309974000017974,True
rvo,2,1,1096,1.556223299998237,False,0.0,1384.8086767014534,1.5586313000021619,True
rvo,1,1,1097,1.4165063999971608,False,0.0,1379.1146223310514,1.4197521000023698,True
rvo,1,1,1098,0.37141279999923427,False,0.0,1042.955069621269,0.3739955999990343,True
rvo,1,1,1099,0.4967426000002888,False,0.0,1030.638150388413,0.4986421000030532,True
rvo,1,1,1100,0.5212828000003356,False,0.0,1025.0962454331916,0.5240304999970249,True
rvo,1,1,1101,0.5650100000020757,False,0.0,1047.864417665318,0.5669905999966431,True
rvo,1,1,1102,0.6042248999983713,False,0.0,1036.757712610751,0.6060467000024801,True
rvo,1,1,1103,0.684392499999376,False,0.0,1066.4458192877273,0.686189199997898,True
rvo,1,1,1104,0.6167141000005358,False,0.0,1072.953256487859,0.6195387000007031,True
